Msecs,Lat,Lon,Heading,Channel,Temp,Pulse,Gain
1568855231398,47.636378,-122.087570,147.711,3,56.382,0,21
1568855231701,47.636378,-122.087570,147.711,0,53.692,8.7608,21
1568855231713,47.636378,-122.087570,147.711,1,54.768,6.58455,21
1568855231774,47.636378,-122.087570,147.711,2,51.54,2.34036,21
1568855233698,47.636260,-122.087467,151.662,1,54.768,7.10254,21
1568855233732,47.636260,-122.087467,151.662,0,53.692,9.45583,21
1568855233737,47.636260,-122.087467,151.662,2,52.078,2.6541,21
1568855234408,47.636197,-122.087417,150.563,3,56.92,0,21
1568855235711,47.636129,-122.087363,150.884,1,54.768,10.671,21
1568855235715,47.636129,-122.087363,150.884,0,53.154,8.28742,21
1568855235741,47.636129,-122.087363,150.884,2,51.54,2.32232,21
1568855237420,47.635990,-122.087247,150.461,3,56.92,0,21
1568855237715,47.635990,-122.087247,150.461,0,53.154,6.91156,21
1568855237718,47.635990,-122.087247,150.461,1,55.306,11.2076,21
1568855237770,47.635990,-122.087247,150.461,2,51.54,4.38967,21
1568855239699,47.635855,-122.087137,150.406,0,53.154,5.14289,21
1568855239713,47.635855,-122.087137,150.406,1,54.768,12.1989,21
1568855239754,47.635855,-122.087137,150.406,2,51.54,4.99814,21
1568855240162,47.635784,-122.087077,149.925,3,56.382,0.00960097,21
1568855241708,47.635711,-122.087015,149.885,0,53.154,5.8829,21
1568855241723,47.635711,-122.087015,149.885,1,55.306,11.535,21
1568855241763,47.635711,-122.087015,149.885,2,51.54,5.48446,21
1568855243172,47.635562,-122.086880,149.798,3,56.382,0,21
1568855243717,47.635562,-122.086880,149.798,1,54.768,11.9035,21
1568855243735,47.635562,-122.086880,149.798,2,51.002,4.87557,21
1568855243766,47.635562,-122.086880,149.798,0,53.154,5.81477,21
1568855245710,47.635414,-122.086748,149.088,0,53.154,4.91258,21
1568855245718,47.635414,-122.086748,149.088,1,54.768,6.38469,21
1568855245757,47.635414,-122.086748,149.088,2,51.002,3.63142,21
1568855246194,47.635340,-122.086682,148.927,3,55.844,0,21
1568855247705,47.635267,-122.086616,148.784,1,54.768,7.7338,21
1568855247722,47.635267,-122.086616,148.784,0,53.692,2.73564,21
1568855247728,47.635267,-122.086616,148.784,2,52.078,2.16032,21
1568855249196,47.635118,-122.086480,148.806,3,56.382,0,21
1568855249706,47.635118,-122.086480,148.806,0,53.154,3.96749,21
1568855249710,47.635118,-122.086480,148.806,1,54.768,4.75118,21
1568855249739,47.635118,-122.086480,148.806,2,51.002,3.9044,21
1568855251699,47.634967,-122.086345,149.401,1,54.768,5.75194,21
1568855251728,47.634967,-122.086345,149.401,0,53.692,3.83706,21
1568855251730,47.634967,-122.086345,149.401,2,51.54,3.02198,21
1568855252209,47.634890,-122.086278,149.5,3,55.844,0,21
1568855253703,47.634816,-122.086214,149.43,0,53.692,2.58258,21
1568855253717,47.634816,-122.086214,149.43,1,54.768,11.8035,21
1568855253754,47.634816,-122.086214,149.43,2,51.54,4.15216,21
1568855255225,47.634665,-122.086082,148.208,3,56.382,0,21
1568855255694,47.634665,-122.086082,148.208,1,54.768,14.9854,21
1568855255741,47.634665,-122.086082,148.208,0,53.692,1.56421,21
1568855255744,47.634665,-122.086082,148.208,2,51.54,4.05438,21
1568855257699,47.634515,-122.085947,149.398,0,53.692,1.4501,21
1568855257719,47.634515,-122.085947,149.398,1,54.768,15.9937,21
1568855257762,47.634515,-122.085947,149.398,2,51.54,4.00002,21
1568855258245,47.634439,-122.085881,150.201,3,56.382,0,21
1568855259710,47.634362,-122.085818,150.936,0,53.692,0.975769,21
1568855259717,47.634362,-122.085818,150.936,1,54.768,16.1801,21
1568855259742,47.634362,-122.085818,150.936,2,50.464,3.23762,21
1568855261254,47.634208,-122.085691,151.277,3,56.382,0,21
1568855261708,47.634208,-122.085691,151.277,1,54.768,15.8609,21
1568855261727,47.634208,-122.085691,151.277,0,53.154,1.68105,21
1568855261777,47.634208,-122.085691,151.277,2,51.54,3.73886,21
1568855263706,47.634055,-122.085571,152.443,0,53.154,2.66719,21
1568855263720,47.634055,-122.085571,152.443,1,54.768,8.2872,21
1568855263761,47.634055,-122.085571,152.443,2,51.002,3.34327,21
1568855264277,47.633978,-122.085511,152.818,3,56.382,0,21
1568855265703,47.633900,-122.085453,153.105,1,54.768,3.58588,21
1568855265749,47.633900,-122.085453,153.105,0,53.692,0.974512,21
1568855265752,47.633900,-122.085453,153.105,3,56.382,0.01088,21
1568855265756,47.633900,-122.085453,153.105,2,51.54,0.504185,21
1568855267706,47.633747,-122.085339,154.219,0,53.154,2.6819,21
1568855267726,47.633747,-122.085339,154.219,1,54.23,6.67335,21
1568855267730,47.633747,-122.085339,154.219,2,51.54,1.88184,21
1568855268727,47.633668,-122.085285,155.752,3,55.844,0,21
1568855269446,47.633589,-122.085234,155.502,3,55.844,0.0102911,21
1568855269722,47.633589,-122.085234,155.502,1,54.768,13.2734,21
1568855269726,47.633589,-122.085234,155.502,0,53.154,4.4767,21
1568855269759,47.633589,-122.085234,155.502,2,51.54,3.88855,21
1568855271706,47.633431,-122.085132,155.541,0,53.154,7.33081,21
1568855271722,47.633431,-122.085132,155.541,1,54.768,11.6289,21
1568855271771,47.633431,-122.085132,155.541,2,51.54,3.42838,21
1568855272459,47.633353,-122.085082,156.957,3,56.382,0,21
1568855273699,47.633274,-122.085032,156.246,1,54.23,9.49866,21
1568855273732,47.633274,-122.085032,156.246,0,52.616,4.96829,21
1568855273735,47.633274,-122.085032,156.246,2,51.54,2.18836,21
1568855275472,47.633113,-122.084931,156.965,3,56.382,0,21
1568855275700,47.633113,-122.084931,156.965,0,52.616,4.15227,21
1568855275719,47.633113,-122.084931,156.965,1,54.768,6.299,21
1568855275768,47.633113,-122.084931,156.965,2,51.54,4.40398,21
1568855277709,47.632951,-122.084833,158.196,0,53.154,2.02802,21
1568855277722,47.632951,-122.084833,158.196,1,54.768,4.36267,21
1568855277765,47.632951,-122.084833,158.196,2,51.54,1.8555,21
1568855278488,47.632868,-122.084785,159.088,3,56.382,0,21
1568855279699,47.632785,-122.084737,158.582,0,53.154,4.5305,21
1568855279720,47.632785,-122.084737,158.582,1,54.23,13.0484,21
1568855279759,47.632785,-122.084737,158.582,2,51.54,7.96099,21
1568855280699,47.632703,-122.084691,159.785,3,56.382,0.0103565,21
